ID,REGION,PEOPL,HHINC,AVG_EDU_LVL,AVG_AGE,CHLDRN_LT_20,OTHR_INCM_SRC,RSDNC,NUM_YEARS_US,NUM_IN_ARMY,TOTAL_NUM_JOBS_HHLD,OWNS_HOUSE
16726,7,5,"$13,818",6,35,3,1,0,35,0,4,1
16741,7,3,"$25,303",4,39,1,0,0,39,0,2,1
16742,7,3,"$60,360",7,49,0,0,0,49,1,4,0
16747,7,1,"$10,980",6,64,0,0,0,64,1,0,0
16748,7,1,"$33,500",6,31,0,0,0,31,0,1,1
16749,7,3,"$67,100",7,41,1,0,0,41,0,2,1
16752,7,2,"$81,000",6,53,0,0,0,53,0,2,1
16753,7,3,"$60,200",5,48,1,1,0,48,1,2,1
16759,7,1,"$58,000",8,31,0,0,0,31,0,1,1
16760,7,2,"$29,160",6,72,0,0,0,72,0,1,1
16770,7,1,"$18,562",6,21,0,0,0,21,0,1,0
16772,7,4,"$48,793",3,35,2,0,0,35,1,2,1
16773,7,2,"$15,024",5,61,0,0,0,61,0,3,1
16785,7,3,"$8,000",6,37,1,0,0,37,0,6,1
16787,7,1,"$19,000",3,61,0,0,0,61,0,2,1
16788,7,2,"$21,000",6,49,1,0,0,49,0,1,0
16790,7,2,"$120,000",6,53,0,0,1,53,1,3,1
16792,7,2,"$47,786",7,68,0,0,0,68,1,2,1
16793,7,5,"$106,320",7,37,3,2,0,37,0,2,1
16795,7,3,"$25,552",3,36,2,0,0,36,0,1,0
16803,7,4,"$80,000",5,31,2,0,0,31,0,3,1
16816,7,2,"$27,000",6,20,2,0,0,20,0,2,0
16819,7,2,"$29,358",6,58,0,0,0,58,0,1,1
16822,7,4,"$16,000",4,30,2,0,0,30,0,2,0
16823,7,1,"$9,745",7,25,0,0,1,25,0,1,0
16824,7,4,"$92,000",5,46,0,0,0,46,2,3,1
16836,7,2,"$76,584",6,81,0,1,1,81,0,3,1
16842,7,1,"$21,600",6,78,0,0,0,78,0,1,1
16847,7,1,"$14,000",9,57,0,0,0,57,0,1,1
16851,7,2,"$3,363",6,22,1,0,0,22,0,1,0
16852,7,1,"$8,400",8,79,0,0,0,79,0,1,0
16858,7,3,"$91,000",10,50,1,2,0,50,0,1,1
16860,7,1,"$42,000",8,37,0,0,0,37,0,2,0
16870,7,2,"$60,000",7,59,0,1,0,40,1,2,1
16875,7,4,"$78,000",8,35,2,0,0,36,1,2,1
16883,7,4,"$48,000",5,53,1,0,1,53,1,3,1
16889,7,1,"$69,000",8,38,0,0,0,38,0,1,1
16890,7,2,"$30,075",3,23,1,0,0,23,0,1,1
16892,7,2,"$25,000",8,75,0,0,0,75,1,2,1
16893,7,1,"$12,659",3,57,0,0,0,57,0,0,1
16895,7,2,"$72,117",7,53,0,0,0,53,1,1,1
16897,7,2,"$78,568",8,50,0,1,0,50,0,2,1
16898,7,2,"$28,050",7,55,0,0,0,55,0,3,1
16899,7,3,"$60,000",8,43,1,0,0,43,0,2,1
16900,7,1,"$13,561",3,82,0,0,0,82,0,1,1
16905,7,2,"$34,152",3,68,0,0,0,68,1,2,1
16908,7,4,"$43,000",6,29,2,0,0,29,0,3,0
16911,7,1,"$20,760",6,73,0,0,0,73,0,1,1
16914,7,1,"$58,000",3,55,0,0,1,55,1,1,1
